,zipcode,id,day_of_week_x,index_x,available_x,max_nights_x,min_nights_x,available_for_checkin_x,available_for_checkout_x,bookable_x,day_of_week_y,index_y,available_y,max_nights_y,min_nights_y,available_for_checkin_y,available_for_checkout_y,bookable_y,available_delta_pct,available_for_checkin_delta_pct,available_for_checkout_delta_pct,bookable_delta_pct
0,3251,30987364.0,3.0,31.040462427745666,0.8315441783649875,21.569777043765484,2.0,0.8117258464079272,0.819983484723369,0.8315441783649875,3.0,18.795017482517483,0.5629838911088911,26.90460320929071,2.0,0.5569898851148851,0.5143996628371629,0.5619848901098902,-26.85602872560965,-25.473596129304223,-30.558382188620623,-26.955928825509748
1,3574,45162522.0,3.0,31.040462427745666,0.5821635012386458,1125.0,2.7283236994219653,0.4838976052848885,0.5392237819983484,0.5590421139554087,3.0,18.795017482517483,0.4479660964035964,1125.0,2.0839160839160837,0.41799606643356646,0.4109562312687313,0.44596809440559443,-13.419740483504933,-6.590153885132208,-12.82675507296172,-11.307401954981433
2,3809,53340685.0,3.0,31.040462427745666,0.4665565648224608,1125.0,2.878612716763006,0.34186622625928986,0.4640792733278282,0.4541701073492981,3.0,18.795017482517483,0.5350821053946053,1125.0,2.156530969030969,0.4968859265734266,0.5000702422577422,0.52997002997003,6.852554057214461,15.501970031413673,3.5990968929914007,7.579992262073187
3,4015,3.630099035712997e+17,3.0,31.040462427745666,0.34929810074318746,1109.3980181668044,5.328323699421966,0.2254335260115607,0.3230388109000826,0.31362510322047893,3.0,18.795017482517483,0.2886691433566434,1106.1248751248752,5.1816058941058944,0.23454826423576425,0.24597433816183814,0.26986607142857144,-6.062895738654409,0.9114738224203546,-7.706447273824441,-4.375903179190751
4,4039,2.7456243423971933e+17,3.0,34.98451692815855,0.6033531909873776,745.0,1.5,0.5778429869057449,0.6025274271558334,0.6033531909873776,3.0,19.361794455544455,0.5579147415084915,745.0,1.5,0.5451596394676752,0.534178433173969,0.5579147415084915,-4.5438449478886085,-3.268334743806976,-6.834899398186454,-4.5438449478886085
5,4043,12197831.0,3.0,31.040462427745666,0.24690338563170933,31.0,1.0,0.24690338563170933,0.24690338563170933,0.24690338563170933,3.0,18.795017482517483,0.27963442807192807,31.0,1.0,0.27963442807192807,0.28410651848151847,0.27963442807192807,3.2731042440218743,3.2731042440218743,3.7203132849809153,3.2731042440218743
6,4055,3.031532044114306e+17,3.0,31.040462427745666,0.7384393063583815,479.1418249380677,3.013212221304707,0.3313377374071016,0.43786127167630057,0.47729149463253506,3.0,18.795017482517483,0.4544166770729271,554.7551452453796,3.0425453452797204,0.29409457729770233,0.2978876592157842,0.34586897477522477,-28.40226292854544,-3.7243160109399267,-13.997361246051636,-13.142251985731031
7,4062,13962444.0,3.0,31.040462427745666,0.07762180016515276,1125.0,4.0,0.0,0.0,0.0,3.0,18.795017482517483,0.0,1125.0,4.0,0.0,0.0,0.0,-7.762180016515275,0.0,0.0,0.0
8,4064,7.969198031722109e+16,3.0,30.831117393131066,0.37884158502349924,708.4547280558842,4.2418362885237055,0.24692829522753934,0.3245173695651686,0.3400229161678695,3.0,18.846625325543204,0.20160900323558217,712.3259316696816,4.262181425078124,0.1262107014956118,0.15282664429026488,0.16877363304489462,-17.723258178791706,-12.071759373192753,-17.16907252749037,-17.124928312297488
9,4071,2.365253378717276e+17,3.0,31.040462427745666,0.483402146985962,504.4208092485549,4.84690338563171,0.37324525185796864,0.4498761354252684,0.4800990916597853,3.0,18.795017482517483,0.2610171078921079,516.1495004995005,4.821428571428571,0.25175761738261737,0.23152784715284716,0.2605940934065934,-22.23850390938541,-12.148763447535124,-21.83482882724212,-21.95049982531919
10,4072,12486642.0,3.0,31.040462427745666,0.09413707679603633,7.0,3.0,0.0,0.03881090008257638,0.01981833195706028,3.0,18.795017482517483,0.1362933941058941,7.0,3.0,0.04575892857142857,0.1096949925074925,0.11332417582417584,4.215631730985778,4.575892857142857,7.088409242491612,9.350584386711555
11,4084,53828526.0,3.0,31.040462427745666,0.8959537572254335,301.168455821635,2.1684558216350123,0.18166804293971925,0.14368290668868702,0.18827415359207267,3.0,18.795017482517483,0.6190840409590409,365.0,2.0,0.0,0.0,0.0,-27.686971626639256,-18.166804293971925,-14.368290668868703,-18.827415359207265
12,5450,11886168.0,3.0,30.88757396449704,0.1893491124260355,1125.0,1.1749788672865598,0.16737109044801352,0.18850380388841925,0.18850380388841925,3.0,18.80583827868581,0.12764811192520636,1125.0,1.1854590060670358,0.1231641414978616,0.11384809203328582,0.12649603819248748,-6.170100050082913,-4.420694895015191,-7.465571185513347,-6.20077656959318
13,5478,49909473.0,3.0,31.040462427745666,0.393889347646573,1125.0,2.8265895953757227,0.2617671345995045,0.3715937241948803,0.3905862923203964,3.0,18.795017482517483,0.2219109015984016,1125.0,2.98001998001998,0.17495785464535465,0.1823176823176823,0.2189138986013986,-17.19784460481715,-8.68092799541499,-18.927604187719794,-17.167239371899775
14,5487,20844889.0,3.0,31.040462427745666,0.35672997522708505,1125.0,2.0,0.2617671345995045,0.374896779521057,0.3542526837324525,3.0,18.795017482517483,0.14506587162837165,1125.0,2.0,0.11381587162837163,0.1272009240759241,0.1439498001998002,-21.166410359871342,-14.795126297113288,-24.76958554451329,-21.030288353265234
15,5672,21305575.0,3.0,31.040462427745666,0.8389760528488853,120.0,3.0,0.8389760528488853,0.8183319570602808,0.8389760528488853,3.0,18.795017482517483,0.5281437312687313,120.0,3.0,0.5281437312687313,0.4978302947052947,0.5281437312687313,-31.083232158015395,-31.083232158015395,-32.0501662354986,-31.083232158015395
16,5751,34714575.0,3.0,31.040462427745666,0.3327828241123039,753.3333333333334,1.6666666666666667,0.3327828241123039,0.3333333333333333,0.3327828241123039,3.0,18.795017482517483,0.3293399309024309,753.3333333333334,1.6666666666666667,0.3293399309024309,0.32045298451548454,0.3293399309024309,-0.3442893209872989,-0.3442893209872989,-1.2880348817848828,-0.3442893209872989
17,5860,31183234.0,3.0,31.040462427745666,0.634186622625929,1125.0,2.0,0.5681255161023947,0.6350123864574732,0.6333608587943849,3.0,18.795017482517483,0.31971934315684314,1125.0,2.0,0.2879308191808192,0.2817182817182817,0.3176042707292707,-31.44672794690858,-28.019469692157553,-35.32941047391915,-31.575658806511406
18,28428,2.918012663392143e+17,3.0,31.133287997279837,0.5181352309710011,657.1284062758051,9.915767231748191,0.15802448146888814,0.22648758925535534,0.25304682566668285,3.0,18.804669802028958,0.335249752448256,654.682202563062,9.192083169911074,0.15342121017187038,0.13268897145987815,0.18992047235335088,-18.288547852274515,-0.4603271297017753,-9.379861779547717,-6.312635331333198
19,28461,54120982.0,3.0,31.040462427745666,0.023121387283236997,1125.0,3.0,0.011560693641618498,0.023121387283236997,0.023121387283236997,3.0,18.795017482517483,0.0841268106893107,1125.0,3.0,0.039889797702297704,0.08101273726273726,0.08089566683316683,6.100542340607369,2.8329104060679207,5.789134997950027,5.777427954992985
20,28462,29188055.0,3.0,31.040462427745666,0.06936416184971098,89.20644095788604,6.62840627580512,0.00990916597853014,0.00990916597853014,0.06936416184971098,3.0,18.795017482517483,0.04523601398601399,89.390625,5.746058628871129,0.0078125,0.0,0.04523601398601399,-2.412814786369699,-0.20966659785301392,-0.990916597853014,-2.412814786369699
21,28480,8.725643429257646e+16,3.0,31.040462427745666,0.37607644213754865,553.2857142857143,4.5979709802996345,0.22956234516928162,0.3248790845818096,0.33785537336321814,3.0,18.795017482517483,0.20434922220636506,553.2857142857143,4.018867293420865,0.14250927643784786,0.1695793046239475,0.18555774582560297,-17.17272199311836,-8.705306873143371,-15.529977995786211,-15.229762753761513
22,28512,54123047.0,3.0,31.040462427745666,0.8777869529314616,365.0,5.699421965317918,0.0,0.017341040462427744,0.06936416184971098,3.0,18.795017482517483,0.5887706043956045,356.609375,6.85014985014985,0.0234375,0.0234375,0.15914554195804195,-28.901634853585723,2.34375,0.6096459537572255,8.978138010833097
23,29572,22415914.0,3.0,31.040462427745666,0.6936416184971098,692.0916597853013,3.0,0.19735755573905864,0.2584640792733278,0.38480594549958713,3.0,18.795017482517483,0.4820882242757243,663.1885458291708,3.0,0.27216533466533466,0.2524506743256743,0.36530656843156845,-21.155339422138557,7.480777892627604,-0.6013404947653497,-1.949937706801869
24,29575,19143185.0,3.0,31.040462427745666,0.0,1125.0,7.0,0.0,0.0,0.0,3.0,18.795017482517483,0.0,1125.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,29577,1.366738182645665e+17,3.0,31.062303738224294,0.42643215735801293,896.936173313256,2.6377811240102975,0.29270556233374,0.3605882067209747,0.36263947265407354,3.0,18.79728861652018,0.3566477601209892,905.8529315353763,2.464007958952812,0.23067461096277375,0.26850961409137675,0.2961175242528805,-6.978439723702372,-6.203095137096626,-9.207859262959795,-6.652194840119302
26,29579,2.371371449557194e+17,3.0,31.577759454353195,0.4641371389459777,695.9772251876587,2.4321030018600833,0.3307095347228401,0.35201204632761857,0.37100075582770187,3.0,18.856893301000795,0.3310750831736476,692.5572707246345,2.449920246442918,0.2497189962588247,0.25132002688086374,0.2740050443756239,-13.306205577233008,-8.099053846401537,-10.069201944675486,-9.699571145207804
27,29582,1.7452832065678784e+17,3.0,31.05889816828335,0.30608950582380634,387.3686441162694,3.4670163018598057,0.1714074412953263,0.2029986625566411,0.2360950360316634,3.0,18.82053353660192,0.17497400740639105,420.6869575559271,2.8735701579103883,0.09024916488827152,0.10469930845489459,0.12841279722199397,-13.111549841741533,-8.11582764070548,-9.829935410174649,-10.768223880966943
28,29585,22524931.666666668,3.0,31.040462427745666,0.10046793283787503,771.9988989815579,3.015414258188825,0.007156619873382879,0.05560143132397468,0.0600055050922103,3.0,18.795017482517483,0.1344358766233766,759.297619047619,3.0416666666666665,0.018601190476190476,0.0862054612054612,0.11663336663336663,3.396794378550159,1.1444570602807596,3.060402988148653,5.662786154115634
29,33127,41677473.5,3.0,38.959276018099544,0.7714932126696833,756.7882999353587,2.131868131868132,0.7453135100193924,0.7469295410471881,0.7592113768584356,3.0,26.70476643775073,0.4271626606377915,742.9992350581356,2.1002435064935066,0.36781592099000476,0.34105357992792545,0.3756140783300469,-34.43305520318917,-37.74975890293876,-40.58759611192626,-38.359729852838875
30,33131,35657388.0,3.0,38.959276018099544,0.6752854988149105,1125.0,2.4811463046757165,0.6244343891402715,0.6528765352294764,0.6670976082740789,3.0,26.70476643775073,0.3880110944901521,1125.0,2.43069768364271,0.3376765032524195,0.3536057092994266,0.3751728201989982,-28.72744043247585,-28.6757885887852,-29.92708259300498,-29.192478807508067
31,33133,52797919.5,3.0,38.959276018099544,0.41144149967679383,745.0,3.0,0.36877828054298645,0.4036845507433742,0.40885585003232067,3.0,26.70476643775073,0.41602425715645613,638.0534779356769,2.8956619296933432,0.3727030495682328,0.4046414972462093,0.41303248453117564,0.4582757479662318,0.3924769025246395,0.09569465028350123,0.4176634498855013
32,33137,48990447.0,3.0,38.959276018099544,0.5972850678733032,1125.0,3.0,0.5248868778280543,0.5759534583063994,0.59469941822883,3.0,26.70476643775073,0.23235534099408447,1125.0,3.0,0.17401577480111513,0.2063813150200585,0.23235534099408447,-36.49297268792187,-35.08711030269392,-36.9572143286341,-36.234407723474554
33,33138,38361228.333333336,3.0,39.0921167337789,0.5804645076096776,810.0,17.82437745740498,0.5257349234683287,0.5690445550132543,0.5793871535911471,3.0,26.71832914031867,0.45107606295605746,810.0,13.87061403508772,0.40753124780060573,0.42285254127703836,0.44307108800082073,-12.938844465362017,-11.820367566772301,-14.619201373621605,-13.631606559032642
34,33139,33612881.81818182,3.0,39.84692566162752,0.5937583414037361,692.6363636363636,34.92139133316539,0.5726044887586614,0.5810135735921492,0.5919868730062391,3.0,26.752841500946932,0.39676924110502365,692.6363636363636,34.981938376376306,0.3714972294311878,0.37747774111805144,0.392739774617204,-19.698910029871243,-20.11072593274736,-20.35358324740978,-19.924709838903503
35,33140,45268413.0,3.0,41.608040201005025,0.8715003589375449,1125.0,2.0,0.8549892318736539,0.8564249820531227,0.8671931083991385,3.0,27.14967603384666,0.6601475743837302,1125.0,2.0,0.6369697692773628,0.6329913180741911,0.6535856537141389,-21.135278455381478,-21.80194625962912,-22.343366397893174,-21.360745468499967
36,33141,35386599.8,3.0,40.39979901937261,0.6622440309681145,642.8180995475113,3.0633668852156246,0.6334043997175626,0.6335595709563637,0.654099234588024,3.0,27.00282103484415,0.33414050073624074,652.8325015298836,2.7271514252557254,0.2860910140089921,0.30438337925844533,0.32837813088740453,-32.810353023187375,-34.73133857085705,-32.91761916979184,-32.57211037006194
37,33147,16147651.0,3.0,38.959276018099544,0.7595345830639948,1125.0,1.7963800904977376,0.7595345830639948,0.7213962508080156,0.7595345830639948,3.0,26.70476643775073,0.16390579315971984,1125.0,1.9775617053103964,0.16390579315971984,0.1267593662881621,0.16390579315971984,-59.56287899042749,-59.56287899042749,-59.46368845198534,-59.56287899042749
38,33150,41103264.0,3.0,38.959276018099544,0.47575953458306397,365.0,1.9069166127989658,0.3878474466709761,0.486748545572075,0.4725274725274725,3.0,26.70476643775073,0.30672893860066636,365.0,1.8531524104168084,0.26686271843339904,0.2555925749643027,0.2848133541850819,-16.903059598239768,-12.098472823757703,-23.115597060777226,-18.77141183423906
39,33169,45564949.0,3.0,38.959276018099544,0.5546218487394958,999.0,1.1706528765352295,0.5546218487394958,0.5384615384615384,0.5546218487394958,3.0,26.70476643775073,0.37021061399333655,999.0,1.2142857142857142,0.37021061399333655,0.3656847079621949,0.37021061399333655,-18.441123474615928,-18.441123474615928,-17.277683049934357,-18.441123474615928
40,33175,39940481.0,3.0,38.959276018099544,0.8836457659987071,1125.0,3.0,0.8442146089204913,0.8668390433096316,0.8817065287653524,3.0,26.70476643775073,0.6985704086489426,1125.0,3.0,0.6985704086489426,0.6763530971646156,0.6985704086489426,-18.50753573497645,-14.56442002715486,-19.048594614501607,-18.313612011640963
