,zipcode,day_of_week_x,available_delta_pct
0,3251,0,-20.30075187969925
1,3251,1,-20.30075187969925
2,3251,2,-20.30075187969925
3,3251,3,-20.30075187969925
4,3251,4,-20.30075187969925
5,3251,5,-20.30075187969925
6,3251,6,-20.30075187969925
7,3574,0,-7.142857142857148
8,3574,1,5.357142857142852
9,3574,2,0.7518796992481178
10,3574,3,0.7518796992481178
11,3574,4,23.1203007518797
12,3574,5,10.620300751879697
13,3574,6,17.857142857142854
14,3809,0,14.097744360902253
15,3809,1,14.097744360902253
16,3809,2,0.9398496240601509
17,3809,3,0.9398496240601509
18,3809,4,25.93984962406015
19,3809,5,25.93984962406015
20,3809,6,14.097744360902253
21,4015,0,15.187969924812036
22,4015,1,7.293233082706764
23,4015,2,1.7669172932330823
24,4015,3,-1.1278195488721785
25,4015,4,13.872180451127821
26,4015,5,13.872180451127821
27,4015,6,23.87218045112782
28,4039,0,-16.91729323308271
29,4039,1,-20.206766917293233
30,4039,2,-20.206766917293233
31,4039,3,4.79323308270677
32,4039,4,17.95112781954887
33,4039,5,21.898496240601503
34,4039,6,4.135338345864663
35,4043,0,8.45864661654135
36,4043,1,-16.541353383458645
37,4043,2,5.827067669172938
38,4043,3,-0.7518796992481143
39,4043,4,13.721804511278197
40,4043,5,21.61654135338346
41,4043,6,-0.7518796992481143
42,4055,0,-25.234962406015036
43,4055,1,-25.234962406015036
44,4055,2,-31.484962406015036
45,4055,3,-31.484962406015036
46,4055,4,-18.984962406015036
47,4055,5,-17.011278195488718
48,4055,6,-23.261278195488718
49,4062,0,0.0
50,4062,1,0.0
51,4062,2,0.0
52,4062,3,-25.0
53,4062,4,-25.0
54,4062,5,0.0
55,4062,6,0.0
56,4064,0,-19.52826418204981
57,4064,1,-20.568655858916394
58,4064,2,-21.63964729098494
59,4064,3,-17.355681562710764
60,4064,4,-8.376839107736117
61,4064,5,-6.663252816426448
62,4064,6,-11.725326605550421
63,4071,0,-19.58020050125313
64,4071,1,-19.58020050125313
65,4071,2,-15.413533834586465
66,4071,3,-15.413533834586465
67,4071,4,-2.25563909774436
68,4071,5,-10.588972431077693
69,4071,6,-12.781954887218046
70,4072,0,20.86466165413534
71,4072,1,-4.135338345864662
72,4072,2,-4.135338345864662
73,4072,3,19.548872180451127
74,4072,4,-4.135338345864662
75,4072,5,20.86466165413534
76,4072,6,20.86466165413534
77,4084,0,-14.661654135338349
78,4084,1,-14.661654135338349
79,4084,2,-14.661654135338349
80,4084,3,-14.661654135338349
81,4084,4,-14.661654135338349
82,4084,5,-14.661654135338349
83,4084,6,-14.661654135338349
84,4274,0,9.210526315789481
85,4274,1,9.210526315789481
86,4274,2,2.6315789473684306
87,4274,3,9.210526315789481
88,4274,4,9.210526315789481
89,4274,5,25.0
90,4274,6,9.210526315789481
91,5450,0,-7.5187969924812075
92,5450,1,-7.5187969924812075
93,5450,2,-7.5187969924812075
94,5450,3,6.954887218045114
95,5450,4,13.533834586466162
96,5450,5,17.481203007518793
97,5450,6,-7.5187969924812075
98,5478,0,-25.0
99,5478,1,-50.0
100,5478,2,-50.0
101,5478,3,-25.0
102,5478,4,0.0
103,5478,5,0.0
104,5478,6,0.0
105,5487,0,-34.962406015037594
106,5487,1,-34.962406015037594
107,5487,2,-62.59398496240601
108,5487,3,-12.593984962406012
109,5487,4,-12.593984962406012
110,5487,5,12.406015037593985
111,5487,6,12.406015037593985
112,5672,0,-22.55639097744361
113,5672,1,-22.55639097744361
114,5672,2,-22.55639097744361
115,5672,3,-22.55639097744361
116,5672,4,-22.55639097744361
117,5672,5,-22.55639097744361
118,5672,6,-22.55639097744361
119,5751,0,4.949874686716792
120,5751,1,4.949874686716792
121,5751,2,4.949874686716792
122,5751,3,4.949874686716792
123,5751,4,13.283208020050123
124,5751,5,13.283208020050123
125,5751,6,4.949874686716792
126,5860,0,-5.263157894736843
127,5860,1,-48.6842105263158
128,5860,2,-46.05263157894736
129,5860,3,-46.05263157894736
130,5860,4,-30.263157894736846
131,5860,5,-5.263157894736843
132,5860,6,-5.263157894736843
133,28428,0,-25.469924812030076
134,28428,1,-27.443609022556394
135,28428,2,-32.048872180451134
136,28428,3,-23.7155388471178
137,28428,4,-13.62781954887218
138,28428,5,-7.268170426065164
139,28428,6,-14.285714285714288
140,28461,0,5.451127819548871
141,28461,1,14.661654135338342
142,28461,2,14.661654135338342
143,28461,3,14.661654135338342
144,28461,4,5.451127819548871
145,28461,5,5.451127819548871
146,28461,6,5.451127819548871
147,28462,0,-7.89473684210526
148,28462,1,-7.89473684210526
149,28462,2,-7.89473684210526
150,28462,3,-7.89473684210526
151,28462,4,-7.89473684210526
152,28462,5,-7.89473684210526
153,28462,6,-7.89473684210526
154,28480,0,-18.44997108155003
155,28480,1,-24.522845575477156
156,28480,2,-16.324465008675535
157,28480,3,-19.259687680740313
158,28480,4,-9.644303065355697
159,28480,5,-9.340659340659341
160,28480,6,-13.186813186813186
161,28512,0,-17.105263157894736
162,28512,1,-17.105263157894736
163,28512,2,-17.105263157894736
164,28512,3,-17.105263157894736
165,28512,4,-17.105263157894736
166,28512,5,-17.105263157894736
167,28512,6,-17.105263157894736
168,29572,0,-37.21804511278195
169,29572,1,-37.21804511278195
170,29572,2,-12.218045112781956
171,29572,3,-12.218045112781956
172,29572,4,-12.218045112781956
173,29572,5,-12.218045112781956
174,29572,6,-37.21804511278195
175,29575,0,0.0
176,29575,1,0.0
177,29575,2,0.0
178,29575,3,0.0
179,29575,4,0.0
180,29575,5,0.0
181,29575,6,0.0
182,29577,0,-16.311612364243945
183,29577,1,-17.115705931495405
184,29577,2,-18.28529657477026
185,29577,3,-7.027986633249792
186,29577,4,11.319966583124476
187,29577,5,10.004177109440267
188,29577,6,-8.05137844611529
189,29579,0,-22.622180451127818
190,29579,1,-20.38533834586466
191,29579,2,-24.398496240601506
192,29579,3,-14.266917293233085
193,29579,4,-3.148496240601503
194,29579,5,-1.8984962406015025
195,29579,6,-10.648496240601503
196,29582,0,-22.756487994178997
197,29582,1,-22.162260489934518
198,29582,2,-19.445791899102595
199,29582,3,-15.116420082464224
200,29582,4,-20.167353868542325
201,29582,5,-20.59180208585981
202,29582,6,-23.732718894009217
203,29585,0,11.591478696741854
204,29585,1,11.591478696741854
205,29585,2,6.328320802005014
206,29585,3,-2.005012531328319
207,29585,4,-2.005012531328319
208,29585,5,3.2581453634085205
209,29585,6,11.591478696741854
210,33109,0,-23.847926267281107
211,33109,1,-58.525345622119815
212,33109,2,-58.525345622119815
213,33109,3,-33.525345622119815
214,33109,4,-23.847926267281107
215,33109,5,-23.847926267281107
216,33109,6,-23.847926267281107
217,33125,0,-32.6036866359447
218,33125,1,-21.313364055299537
219,33125,2,-32.6036866359447
220,33125,3,-13.248847926267286
221,33125,4,-13.248847926267286
222,33125,5,-13.248847926267286
223,33125,6,-32.6036866359447
224,33127,0,-19.930875576036865
225,33127,1,-32.43087557603686
226,33127,2,-44.93087557603686
227,33127,3,-32.43087557603686
228,33127,4,-32.43087557603686
229,33127,5,-32.43087557603686
230,33127,6,-19.930875576036865
231,33131,0,-31.912442396313363
232,33131,1,-39.70814132104454
233,33131,2,-32.98771121351766
234,33131,3,-28.955453149001535
235,33131,4,-27.611367127496163
236,33131,5,-26.267281105990783
237,33131,6,-28.417818740399383
238,33133,0,-12.96082949308756
239,33133,1,-10.541474654377883
240,33133,2,-0.46082949308756077
241,33133,3,12.03917050691244
242,33133,4,24.539170506912438
243,33133,5,36.23271889400922
244,33133,6,-12.96082949308756
245,33137,0,-66.3594470046083
246,33137,1,-66.3594470046083
247,33137,2,-65.55299539170507
248,33137,3,-65.55299539170507
249,33137,4,-34.907834101382484
250,33137,5,-34.907834101382484
251,33137,6,-34.907834101382484
252,33138,0,-25.921658986175117
253,33138,1,-25.921658986175117
254,33138,2,-25.921658986175117
255,33138,3,-9.254992319508451
256,33138,4,-0.11520737327189222
257,33138,5,8.218125960061442
258,33138,6,-9.254992319508451
259,33139,0,-23.06018354405451
260,33139,1,-26.59616369293789
261,33139,2,-21.0130371420694
262,33139,3,-13.924993763703442
263,33139,4,-4.061470190502449
264,33139,5,-6.790998726482598
265,33139,6,-16.794674859190987
266,33140,0,-16.013824884792623
267,33140,1,-16.013824884792623
268,33140,2,-16.013824884792623
269,33140,3,-7.142857142857149
270,33140,4,-7.142857142857149
271,33140,5,-7.142857142857149
272,33140,6,-16.013824884792623
273,33141,0,-36.34210771307546
274,33141,1,-53.245007680491554
275,33141,2,-40.87941628264209
276,33141,3,-34.99802169157008
277,33141,4,-25.18619373458083
278,33141,5,-23.707699110924917
279,33141,6,-28.412000186193733
280,33147,0,-82.14285714285714
281,33147,1,-82.14285714285714
282,33147,2,-57.142857142857146
283,33147,3,-57.142857142857146
284,33147,4,-57.142857142857146
285,33147,5,-57.142857142857146
286,33147,6,-82.14285714285714
287,33150,0,-29.49308755760369
288,33150,1,-10.138248847926267
289,33150,2,-27.880184331797228
290,33150,3,-27.880184331797228
291,33150,4,-35.13824884792627
292,33150,5,-35.13824884792627
293,33150,6,-29.49308755760369
294,33169,0,-50.0
295,33169,1,-50.0
296,33169,2,-50.0
297,33169,3,-2.5376526277146434e-16
298,33169,4,45.16129032258065
299,33169,5,45.16129032258065
300,33169,6,-25.0
301,33175,0,-10.483870967741934
302,33175,1,-10.483870967741934
303,33175,2,-10.483870967741934
304,33175,3,-10.483870967741934
305,33175,4,-10.483870967741934
306,33175,5,-10.483870967741934
307,33175,6,1.6129032258064533
